Unnamed: 0,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
6675.0,1.0,92.22,136.28,,3415.2,10.2,35.0
6676.0,1.1,96.9,145.51,1.08,3435.1,9.6,35.0
6677.0,1.1,93.29,136.84,1.07,3920.2799999999993,10.2,34.5
6678.0,1.3,-9.819999999999993,145.94,-98.95,,9.5,35.4
6679.0,-99.0,93.44,137.13,1.08,3510.9,10.1,-65.5
6680.0,,94.37,134.75,1.1,3209.4,10.2,35.2
6681.0,1.3,95.24,139.99,1.06,3418.3,10.1,35.0
6682.0,1.4,91.93,134.41,1.1,3281.9,,35.2
6683.0,1.2,92.3,138.46,1.07,3242.2,9.6,
6684.0,1.3,94.24,131.62,1.07,3380.8,,35.4
6685.0,1.3,94.46,148.7,1.05,3260.7,9.7,35.4
6686.0,1.2,96.16,140.28,1.06,3292.1,9.7,35.0
6687.0,1.3,92.1,136.36,1.05,3307.7,10.1,34.8
6688.0,,97.69,145.17,1.11,3383.4,9.9,34.7
6689.0,1.0,91.51,146.58,1.1,3535.4,9.6,34.6
6690.0,1.4,95.24,136.27,1.11,3370.7,9.6,35.1
6691.0,1.1,98.14,133.19,1.05,3485.7,9.7,35.0
6692.0,1.5,90.78,137.66,1.11,3329.1,10.0,
6693.0,1.2,93.46,140.87,1.09,3550.7,10.0,34.9
-10.329999999999998,1.4,92.57,138.98,1.08,3920.2799999999993,10.0,34.9
6695.0,1.0,97.88,145.5,1.1,3368.7,10.0,35.2
6696.0,1.0,96.81,143.39,1.11,3554.1,9.7,34.6
6697.0,1.0,98.17,148.67,1.09,3324.2,9.8,35.4
6698.0,1.3,91.27,,1.11,3241.8,10.1,35.0
6699.0,1.1,93.34,141.2,1.1,3570.5,-90.5,138.9
8609.33,1.1,91.16,132.39,,3409.9,10.0,35.2
6701.0,1.3,99.67,132.69,1.08,3454.5,9.8,
6702.0,-99.0,,145.81,1.05,3266.0,9.5,35.0
6703.0,1.2,99.42,131.49,1.05,3400.3,10.0,-65.5
6704.0,1.1,93.51,136.51,1.1,3607.8,10.2,34.6
6705.0,1.4,90.35,139.2,1.08,3587.6,110.2,35.1
8609.33,1.1,95.98,142.83,1.05,3442.5,9.7,34.9
6707.0,1.0,98.92,255.3056,1.09,3592.8,9.9,34.8
6708.0,1.1,98.47,143.36,1.05,3450.5,10.1,138.9
6709.0,1.3,99.61,135.64,1.11,3273.1,9.9,34.8
6710.0,1.2,95.86,142.37,1.06,3244.5,10.1,34.5
6711.0,1.0,93.63,136.37,1.1,3467.8,9.6,34.6
6712.0,1.2,90.41,138.24,1.09,3443.1,,34.8
6713.0,1.5,99.1,132.56,1.08,3503.9,10.2,34.8
6714.0,107.5,,141.62,1.08,3337.4,9.7,34.5
6715.0,1.1,95.69,134.29,1.06,3327.5,9.5,138.9
6716.0,1.4,92.78,133.66,,3505.3,9.9,35.3
6717.0,1.1,94.86,147.83,1.06,3333.0,10.1,35.3
6718.0,1.4,94.64,145.32,1.07,3501.4,9.8,34.7
6719.0,1.2,95.49,147.36,1.09,3365.4,10.2,35.0
6720.0,1.5,92.68,130.29,1.1,3299.5,9.5,34.6
6721.0,1.0,92.55,131.67,1.11,3362.8,,35.4
6722.0,1.1,98.87,142.27,1.05,3490.2,10.0,35.3
6723.0,1.2,92.96,141.72,1.11,3285.0,9.8,34.9
6724.0,107.5,92.72,140.75,1.08,3235.4,10.1,35.1
6725.0,1.3,91.85,146.38,1.05,3490.1,10.2,35.2
6726.0,1.3,93.87,30.430000000000007,1.05,3493.3,10.0,35.1
6727.0,1.5,,134.9,1.06,3307.0,110.2,35.2
6728.0,1.3,94.11,140.49,1.05,3266.8,10.0,35.4
6729.0,107.5,90.91,133.3,1.06,3322.7,9.8,35.0
6730.0,1.4,99.65,147.88,1.1,3356.5,9.5,34.9
6731.0,1.3,94.38,134.86,,3466.0,9.9,34.5
6732.0,,90.51,133.93,1.06,3273.5,9.9,138.9
6733.0,1.3,96.12,30.430000000000007,1.06,3459.8,9.6,34.8
6734.0,1.1,,142.64,1.08,3579.1,9.6,35.4
6735.0,1.0,92.63,,1.11,3281.8,9.8,34.9
6736.0,1.0,97.82,133.32,1.06,3263.7,10.1,
,1.3,98.18,134.13,1.07,3396.7,9.8,34.7
6738.0,1.1,90.81,144.2,1.07,2655.34,9.9,34.7
6739.0,1.0,93.16,131.8,1.09,3536.0,9.8,-65.5
6740.0,1.5,,144.69,1.1,3439.7,10.1,35.1
6741.0,1.3,93.44,144.85,1.08,3386.7,-90.5,35.4
6742.0,1.3,90.95,132.79,,3505.5,9.5,34.5
6743.0,1.5,99.97,148.99,1.11,3352.9,,34.5
6744.0,1.5,97.5,133.68,,3278.1,10.1,34.8
6745.0,1.5,95.53,144.23,1.06,3409.2,10.1,35.0
6746.0,1.0,95.21,138.81,1.05,3526.2,10.2,35.2
6747.0,1.3,199.91,148.58,1.05,3262.9,10.2,35.1
6748.0,1.4,96.16,142.95,1.05,3494.1,-90.5,34.8
6749.0,1.2,91.88,131.58,1.06,3438.8,10.0,34.6
6750.0,1.4,95.41,255.3056,1.1,3303.1,9.5,34.8
6751.0,107.5,91.34,139.71,1.08,2655.34,9.8,34.6
6752.0,1.1,97.62,,1.09,3337.7,10.0,34.5
6753.0,1.3,99.39,147.14,1.1,3570.9,9.9,34.9
6754.0,107.5,96.91,141.64,1.05,3540.6,10.1,34.9
6755.0,1.1,91.69,140.74,1.07,3370.8,9.7,34.9
6756.0,1.2,,137.88,-98.95,3470.9,9.5,34.5
6757.0,1.5,92.57,150.89,1.07,3920.2799999999993,9.9,34.8
6758.0,1.4,90.22,,1.11,3500.5,9.5,34.6
6759.0,1.2,91.19,138.79,1.11,3462.7,9.7,34.7
6760.0,1.3,92.18,140.55,1.06,3429.9,9.5,
6761.0,1.3,92.21,255.3056,,3406.1,9.7,35.1
6762.0,1.0,97.6,150.98,1.11,3442.8,9.9,34.9
6763.0,1.0,,147.68,1.05,3293.8,9.7,35.1
6764.0,1.1,91.18,142.46,1.06,3420.6,10.0,35.4
6765.0,1.3,95.35,,1.1,3400.0,10.0,35.0
6766.0,1.2,98.39,132.87,1.08,,9.6,34.6
6767.0,1.3,99.66,141.21,1.1,3329.0,10.2,35.3
6768.0,1.1,90.77,139.8,1.06,3227.8,9.8,35.1
6769.0,1.3,90.91,150.2,1.08,3495.0,10.0,34.8
6770.0,1.1,91.29,144.6,1.09,3561.8,9.5,34.7
6771.0,1.4,199.91,148.24,1.09,3474.3,10.2,35.4
6772.0,1.0,92.91,130.92,1.07,3228.0,10.1,35.3
6773.0,1.4,94.4,142.79,1.11,3283.7,9.9,35.1
6774.0,1.1,95.56,140.65,1.06,3599.2,9.7,35.4
6775.0,1.4,98.46,133.63,1.09,3493.0,9.7,35.4
6776.0,1.4,98.46,131.77,1.11,3544.4,-90.5,34.7
6777.0,1.3,94.46,138.29,,3279.5,9.8,34.5
6778.0,1.1,98.94,141.38,1.07,3216.9,9.7,34.9
6779.0,1.0,96.74,138.38,1.07,3380.9,10.2,34.9
6780.0,1.5,199.91,131.3,1.11,3424.6,9.8,34.7
8609.33,1.3,90.61,,101.11,3513.4,10.2,35.0
6782.0,1.0,98.74,147.51,1.05,3462.9,-90.5,34.9
6783.0,1.1,94.79,131.79,1.07,3573.7,9.6,35.1
6784.0,1.2,92.22,150.53,1.1,3340.3,9.8,34.6
6785.0,1.5,95.93,150.26,1.07,3423.0,9.5,35.0
,1.0,94.92,134.3,1.11,3552.0,9.9,35.0
6787.0,1.0,97.38,138.8,1.1,3412.8,9.8,34.8
6788.0,1.3,92.66,138.72,1.07,3520.5,110.2,35.2
6789.0,1.5,97.69,138.64,1.1,3222.4,-90.5,35.4
6790.0,1.0,95.96,135.42,1.11,3429.1,10.0,35.0
6791.0,1.1,93.71,142.6,1.11,3430.3,9.5,34.7
6792.0,,96.46,140.24,1.11,3572.6,10.0,34.5
6793.0,1.2,92.64,142.96,1.09,3403.5,9.5,34.9
6794.0,1.4,91.52,133.59,1.09,3326.8,-90.5,
6795.0,1.3,99.32,149.85,1.06,,9.7,34.9
6796.0,1.5,99.76,,1.09,3567.4,9.5,35.4
8609.33,1.4,96.51,145.87,1.11,,9.7,35.4
6798.0,1.3,91.14,30.430000000000007,1.06,,9.5,35.4
6799.0,1.5,97.61,131.31,1.11,3286.4,9.8,34.9
6800.0,1.2,92.87,,1.08,3469.9,9.8,34.8
6801.0,1.4,94.48,142.16,1.11,3587.8,9.7,35.1
6802.0,1.5,-9.819999999999993,144.93,1.09,3340.3,-90.5,34.6
6803.0,1.0,96.46,134.86,101.11,2655.34,9.7,35.3
6804.0,1.4,99.17,130.35,,3530.0,9.6,34.6
6805.0,1.1,90.48,146.37,1.07,3248.5,10.0,
-10.329999999999998,1.4,94.83,131.41,1.07,3405.1,9.7,35.4
6807.0,1.4,94.68,,1.1,3356.1,10.2,35.2
6808.0,1.3,96.24,139.57,1.07,3413.8,9.8,
6809.0,1.2,90.82,135.61,1.06,3365.5,10.0,34.9
,1.5,99.82,145.52,1.09,3484.6,10.0,35.2
,1.2,97.87,141.66,1.1,3602.4,10.1,35.0
6812.0,1.3,99.25,145.22,1.08,2655.34,9.7,35.3
6813.0,1.4,95.34,130.32,1.11,,10.0,34.7
6814.0,1.1,94.78,139.74,1.1,3596.4,9.5,35.2
6815.0,1.0,94.17,136.18,1.09,3213.0,9.9,35.3
6816.0,1.4,-9.819999999999993,,1.08,3359.2,9.6,34.9
6817.0,1.1,92.86,143.16,1.09,3363.6,9.9,34.6
6818.0,1.1,95.44,131.74,1.09,3328.1,9.7,34.8
6819.0,1.5,95.14,148.4,1.06,3481.2,9.6,34.9
6820.0,1.5,95.68,143.25,1.11,3311.7,9.7,
6821.0,,99.46,141.47,1.05,3525.7,9.7,138.9
6822.0,1.1,92.11,139.6,1.09,3273.1,9.8,
6823.0,1.4,92.73,132.58,1.1,3584.3,9.7,
6824.0,1.4,92.87,132.46,1.06,3555.2,9.8,34.5
6825.0,1.3,91.76,144.72,1.1,3417.1,9.8,34.8
,1.4,199.91,134.12,1.08,3574.7,10.0,34.9
6827.0,1.0,97.8,,101.11,3409.9,9.9,35.2
6828.0,1.3,90.15,138.77,1.09,3365.2,10.1,34.5
6829.0,,98.85,134.24,1.06,3372.3,9.7,35.3
6830.0,1.1,95.26,146.27,1.11,3386.6,9.6,34.6
6831.0,1.2,99.88,30.430000000000007,1.08,3291.2,9.8,35.4
6832.0,1.4,90.73,145.94,1.08,3281.0,9.8,34.7
6833.0,1.5,95.6,131.43,1.11,3515.1,10.1,34.8
6834.0,1.1,91.26,138.72,1.06,,10.0,34.8
6835.0,1.4,92.5,132.41,1.11,3219.6,9.7,
6836.0,1.3,96.12,135.16,1.07,3290.9,10.2,34.6
6837.0,1.2,97.69,138.45,1.07,3237.7,10.0,34.6
6838.0,1.5,99.92,135.25,,3920.2799999999993,9.5,35.1
6839.0,1.1,,141.75,1.05,3592.3,9.6,34.8
8609.33,1.0,95.31,141.29,1.1,3565.8,9.6,
6841.0,1.1,97.43,255.3056,1.11,3534.4,9.8,35.3
6842.0,1.5,99.85,150.76,1.06,3271.0,9.7,34.8
6843.0,1.5,90.66,131.29,1.1,,9.7,34.6
6844.0,1.0,90.37,139.32,1.07,3391.2,-90.5,34.9
6845.0,107.5,91.71,137.12,1.06,3426.9,10.2,34.7
6846.0,1.0,97.22,144.27,1.09,3920.2799999999993,10.2,
6847.0,1.0,94.93,131.25,1.11,3401.8,10.0,34.9
6848.0,1.3,96.29,255.3056,1.1,3410.6,9.6,35.0
6849.0,1.3,90.14,145.4,1.06,3550.4,9.9,35.4
6850.0,1.2,96.38,144.27,1.07,3424.0,9.9,35.1
6851.0,-99.0,90.94,146.42,1.08,3525.4,9.5,35.0
6852.0,1.0,90.43,145.89,1.09,3387.9,9.8,
6853.0,1.0,96.22,147.45,1.07,3599.4,9.6,35.3
6854.0,-99.0,99.63,138.56,1.08,3482.0,10.0,35.1
6855.0,1.5,92.79,130.18,1.09,3467.7,9.9,34.7
6856.0,1.1,95.31,148.16,1.11,3335.4,10.1,35.1
6857.0,1.2,98.78,138.72,1.05,3594.1,9.9,34.9
6858.0,1.3,99.97,137.98,1.06,3302.6,10.1,35.1
6859.0,1.3,94.31,,1.09,3389.9,10.1,35.4
6860.0,1.5,94.77,148.47,1.11,3571.3,9.7,35.4
6861.0,1.5,94.57,30.430000000000007,1.07,3433.8,10.1,35.1
8609.33,1.5,95.96,140.64,1.08,3488.4,9.8,34.7
6863.0,1.5,96.24,136.48,1.07,3322.9,10.1,34.8
6864.0,1.4,91.23,139.7,1.05,3414.2,-90.5,35.3
6865.0,1.2,90.27,140.35,1.11,3503.9,9.7,35.0
6866.0,1.2,91.59,145.69,1.08,3295.5,110.2,35.0
6867.0,1.0,98.18,150.81,1.09,3521.2,9.9,-65.5
6868.0,1.2,,142.78,1.1,3265.0,10.2,35.1
6869.0,1.2,97.31,140.5,1.09,3292.9,9.8,35.4
6870.0,1.0,93.47,137.71,1.06,3430.0,10.0,35.2
6871.0,1.4,94.44,134.98,1.07,3582.0,10.2,35.1
6872.0,1.0,96.41,136.64,1.09,3492.0,9.8,-65.5
6873.0,1.0,94.2,,1.08,3294.2,9.7,34.7
6874.0,1.2,94.6,140.56,1.06,3358.5,10.1,35.2
6875.0,1.2,99.91,135.62,1.05,3411.5,9.5,35.3
6876.0,1.4,95.83,138.81,1.05,3285.2,110.2,35.2
6877.0,1.0,90.11,130.2,1.08,3419.9,9.9,35.4
6878.0,1.3,91.47,255.3056,1.05,3389.8,-90.5,34.5
6879.0,1.2,90.16,,1.07,3567.3,9.5,35.4
6880.0,1.4,92.7,132.41,1.07,,9.8,35.3
6881.0,-99.0,92.4,136.25,1.09,3373.1,,34.6
6882.0,1.2,95.38,149.82,1.05,3415.9,9.6,138.9
6883.0,1.0,96.37,30.430000000000007,1.1,3461.1,9.8,35.0
6884.0,107.5,94.2,135.33,1.08,3443.4,10.1,34.5
6885.0,1.5,97.46,143.49,1.05,3286.0,9.9,34.5
6886.0,1.5,96.7,138.26,1.09,3500.1,10.2,
,1.4,95.64,134.86,1.06,3270.4,10.2,35.2
6888.0,-99.0,93.13,148.6,1.06,3437.0,10.0,-65.5
6889.0,1.2,95.77,145.31,1.08,3434.2,9.8,34.5
6890.0,107.5,93.36,134.71,1.05,3519.8,10.1,35.2
6891.0,107.5,-9.819999999999993,138.79,101.11,3373.4,,34.6
6892.0,1.3,199.91,133.52,101.11,3420.7,10.1,34.9
6893.0,1.3,94.41,131.88,1.11,3371.4,9.8,35.2
6894.0,1.0,98.31,137.9,1.08,3348.4,,35.3
6895.0,-99.0,90.58,142.37,1.06,3267.2,9.6,35.1
6896.0,1.0,91.59,140.71,1.07,3429.0,9.7,34.5
6897.0,1.1,96.24,132.75,1.09,3331.2,9.6,35.0
6898.0,1.1,98.49,,1.11,3384.8,10.2,-65.5
6899.0,1.3,90.49,135.37,1.07,3262.1,9.5,34.8
6900.0,1.2,90.16,,101.11,3289.7,10.0,35.3
6901.0,1.2,199.91,137.97,1.1,3547.0,9.7,138.9
6902.0,1.3,95.43,149.57,1.06,3588.3,10.1,35.2
6903.0,1.5,98.97,,1.09,3563.4,9.8,138.9
6904.0,1.4,199.91,133.34,1.11,3580.0,9.7,34.8
,1.5,97.83,147.77,1.07,3396.3,9.6,35.4
,1.5,94.69,140.73,1.06,3306.4,9.9,34.6
6907.0,1.1,94.81,130.72,1.1,3585.8,9.8,34.7
6908.0,1.3,,137.16,1.11,3477.1,10.1,34.5
6909.0,1.4,98.17,149.75,1.11,3392.6,,35.3
6910.0,1.0,93.73,133.1,1.05,3488.9,110.2,34.6
6911.0,1.0,97.41,147.76,1.07,,10.2,35.0
6912.0,1.2,97.67,148.3,1.08,3268.2,9.9,34.5
6913.0,1.0,97.48,146.88,1.08,3338.8,9.8,-65.5
6914.0,1.5,92.25,146.93,1.09,2655.34,10.2,35.1
6915.0,-99.0,98.86,144.23,1.1,3537.4,9.8,
6916.0,1.3,94.83,146.25,1.06,3532.3,10.1,34.9
6917.0,1.3,90.43,148.34,-98.95,3264.4,10.2,34.9
6918.0,1.0,97.86,130.66,1.1,3307.0,9.8,35.0
6919.0,1.3,96.6,146.34,1.05,3511.7,9.7,35.1
,1.0,90.78,146.53,1.08,3277.3,9.9,34.6
6921.0,1.2,90.15,144.59,1.08,3256.5,9.5,35.2
6922.0,1.0,,140.35,1.09,3580.8,9.8,35.2
6923.0,1.4,94.7,148.74,1.1,3365.2,10.2,35.3
-10.329999999999998,1.0,98.33,,1.1,3420.1,9.9,34.8
6925.0,1.4,91.71,130.49,1.08,3573.9,10.0,35.0
6926.0,1.0,-9.819999999999993,132.26,1.05,3552.6,9.6,35.0
6927.0,1.5,90.68,148.11,,3468.8,9.6,34.5
6928.0,1.0,91.32,146.55,1.08,,9.6,35.2
6929.0,1.5,91.87,,1.1,3271.1,10.2,34.5
6930.0,1.5,94.51,148.45,1.05,,9.5,34.7
6931.0,1.3,98.94,,1.05,3581.8,10.2,34.8
6932.0,1.2,97.79,138.79,1.1,3260.6,10.0,34.9
6933.0,,96.61,30.430000000000007,1.09,3467.8,10.2,34.7
6934.0,1.4,92.83,131.94,1.08,3217.9,9.6,34.5
6935.0,1.1,98.35,134.49,1.08,3239.6,9.6,34.9
-10.329999999999998,1.1,94.96,146.16,1.11,3470.2,10.2,35.2
6937.0,107.5,90.5,150.24,1.06,3267.2,9.5,35.1
6938.0,1.4,94.24,132.21,1.08,3231.9,9.5,34.7
8609.33,1.2,92.6,148.28,101.11,3307.1,9.7,35.1
6940.0,1.2,,133.67,1.06,3490.5,10.0,34.8
6941.0,1.4,92.4,149.75,1.11,3537.0,9.5,34.9
6942.0,1.5,91.56,132.41,-98.95,3449.3,10.2,
6943.0,1.2,99.84,130.89,1.09,3444.4,9.9,35.0
6944.0,1.3,99.51,135.82,1.05,3214.5,9.6,34.8
6945.0,1.4,95.56,147.98,1.11,3452.9,9.9,34.7
6946.0,1.0,98.42,142.74,1.09,3222.0,9.7,34.8
6947.0,1.3,96.71,137.12,,3298.8,10.1,34.5
,1.4,99.36,139.11,1.08,3504.6,-90.5,34.9
6949.0,107.5,-9.819999999999993,133.32,1.05,3550.2,9.9,35.4
6950.0,1.5,91.27,133.23,1.08,2655.34,9.6,35.1
6951.0,1.0,91.66,255.3056,1.07,3294.1,110.2,-65.5
6952.0,1.5,94.78,147.34,1.07,3406.3,9.7,34.5
6953.0,107.5,90.82,,1.09,3559.6,9.7,34.9
6954.0,1.5,98.48,144.65,1.08,3212.1,9.5,34.7
6955.0,1.2,92.25,149.14,1.06,3259.1,9.9,34.7
6956.0,-99.0,92.92,137.65,1.11,3576.1,-90.5,34.7
6957.0,1.2,98.2,150.74,1.1,3506.1,10.1,34.9
6958.0,1.0,93.63,134.54,1.1,3443.2,9.6,35.0
6959.0,1.1,92.84,136.61,1.06,3337.6,9.8,34.7
6960.0,1.0,95.63,135.55,1.09,3508.8,10.1,35.3
6961.0,1.5,96.27,142.25,1.08,3577.5,10.2,-65.5
6962.0,1.4,93.91,149.61,,3344.4,9.7,34.9
6963.0,1.2,91.53,134.44,1.06,3372.4,9.9,35.1
6964.0,1.4,90.8,30.430000000000007,-98.95,3606.3,110.2,35.4
-10.329999999999998,1.0,93.52,148.12,1.1,3534.8,10.0,35.1
,1.2,99.26,148.74,1.05,3535.6,10.1,35.3
6967.0,1.2,93.12,142.46,1.06,3208.7,9.6,34.9
6968.0,1.1,91.78,141.93,1.1,3463.3,9.6,34.9
6969.0,1.2,93.73,134.38,1.11,3412.1,9.6,35.1
6970.0,1.0,99.14,149.79,1.09,3404.4,9.5,34.8
6971.0,1.1,199.91,141.92,1.07,3499.2,10.2,34.9
6972.0,1.5,,133.58,1.06,3587.7,10.2,35.4
6973.0,1.3,,30.430000000000007,1.09,3225.6,9.9,34.8
6974.0,1.1,94.19,130.67,1.07,3406.8,9.8,34.5
6975.0,1.3,98.12,140.88,1.05,3272.5,9.5,
6976.0,1.0,97.81,143.74,1.1,3298.4,10.1,35.4
6977.0,1.1,99.42,134.82,1.05,3413.2,9.7,35.1
6978.0,1.2,96.17,142.53,1.1,3404.3,9.9,
6979.0,-99.0,96.8,138.55,,3245.7,9.6,35.0
6980.0,,92.62,146.78,1.07,3459.3,9.9,34.6
-10.329999999999998,1.3,91.54,150.24,1.07,3486.5,10.2,34.8
6982.0,1.4,95.42,136.88,1.07,3495.7,9.5,34.8
6983.0,1.0,93.73,138.92,1.11,3424.7,9.7,138.9
6984.0,1.5,,135.36,1.05,3500.4,9.6,34.5
6985.0,1.4,98.8,141.81,1.05,3497.8,10.1,35.4
8609.33,1.2,92.24,137.2,1.06,3590.8,10.2,34.5
6987.0,1.1,99.57,,1.11,3519.3,9.8,34.8
6988.0,1.5,96.31,,1.08,3221.3,110.2,34.5
6989.0,1.5,95.64,132.77,1.11,3330.6,10.2,34.7
6990.0,1.4,199.91,,-98.95,3316.8,9.8,34.9
6991.0,1.0,,147.11,1.09,3392.5,9.5,34.9
6992.0,1.1,199.91,,1.11,3365.6,9.7,35.2
6993.0,,91.34,138.87,1.11,3486.1,9.5,35.2
8609.33,1.1,,134.31,1.09,3213.2,9.5,34.6
6995.0,1.0,94.19,150.84,1.06,3335.3,9.8,35.0
6996.0,1.2,91.39,137.83,1.05,3533.7,9.7,
6997.0,,97.11,135.45,1.07,3428.4,9.6,35.3
6998.0,1.5,93.24,133.16,1.07,3920.2799999999993,9.6,34.9
6999.0,1.2,98.16,141.16,1.11,3594.8,9.8,34.7
7000.0,-99.0,92.28,141.45,1.11,3466.9,10.2,35.4
7001.0,1.5,97.14,143.48,,3920.2799999999993,9.8,35.2
7002.0,1.0,199.91,138.99,101.11,3438.6,9.5,
7003.0,1.5,91.71,138.59,1.11,3231.2,9.6,35.1
7004.0,-99.0,90.42,145.55,1.07,3480.9,9.8,34.9
7005.0,1.4,91.68,142.9,1.06,3471.2,10.2,34.5
7006.0,1.5,92.36,131.81,1.09,3223.2,10.2,35.3
7007.0,1.3,96.2,132.7,1.09,3515.3,,35.4
7008.0,1.3,95.93,132.34,,3307.1,9.9,34.8
7009.0,1.1,94.27,141.65,1.06,3309.3,9.5,35.0
7010.0,1.2,91.67,138.88,1.06,3533.7,9.7,34.7
7011.0,1.3,99.7,131.54,1.11,3439.9,9.5,35.4
7012.0,1.1,92.59,135.46,1.08,3448.3,9.7,34.8
7013.0,1.4,98.81,136.61,1.09,3295.0,9.6,35.3
7014.0,107.5,90.64,139.89,1.1,3484.7,10.1,35.1
7015.0,1.3,,136.36,1.1,3282.4,9.6,34.5
7016.0,1.5,90.44,,1.07,3504.5,10.1,35.1
7017.0,1.0,92.22,137.5,101.11,3524.8,10.1,35.4
8609.33,1.0,99.6,138.5,1.09,3341.3,9.5,34.6
7019.0,1.3,199.91,138.85,1.06,3208.3,110.2,35.1
7020.0,1.4,92.63,131.88,1.1,3382.3,9.8,34.6
7021.0,1.4,93.14,130.58,,3538.3,10.2,-65.5
7022.0,1.1,96.93,148.73,1.07,3443.5,10.1,35.2
7023.0,1.0,94.84,140.86,1.11,3394.4,9.6,35.0
7024.0,1.5,95.35,,1.1,3602.8,9.6,34.9
7025.0,1.3,91.55,140.2,1.07,3294.0,110.2,
7026.0,1.0,99.12,144.39,1.1,3266.3,9.5,35.1
-10.329999999999998,1.2,95.69,144.37,1.06,3565.2,9.8,35.1
7028.0,1.5,97.85,145.38,1.05,3483.7,9.8,
7029.0,1.3,92.23,131.51,1.05,3529.3,9.8,34.8
7030.0,1.3,91.57,141.55,1.07,3319.9,10.1,35.4
7031.0,1.2,95.12,147.57,1.05,3528.6,9.9,35.3
7032.0,1.5,91.72,142.32,1.09,3494.3,10.2,34.8
7033.0,1.3,96.45,141.23,1.06,3330.2,,35.0
7034.0,1.1,91.79,150.85,1.06,3525.3,,34.8
7035.0,1.4,94.97,134.95,,3582.6,9.8,35.0
-10.329999999999998,1.5,99.69,145.98,1.05,3578.5,9.7,35.2
,1.5,93.77,142.89,101.11,3453.1,9.9,34.6
7038.0,1.5,99.72,142.79,,3280.7,9.5,34.9
7039.0,1.5,91.74,147.64,1.05,3519.1,10.1,34.7
7040.0,1.1,99.85,141.12,101.11,3580.0,9.9,35.1
7041.0,1.3,93.42,139.88,1.11,3463.0,9.6,35.2
7042.0,1.0,94.66,149.94,1.06,3920.2799999999993,10.2,34.8
7043.0,1.4,96.29,131.81,1.1,3263.4,9.7,35.2
7044.0,1.1,95.92,148.98,1.1,3352.7,10.2,35.2
7045.0,1.1,93.99,134.11,1.11,3285.8,-90.5,34.7
8609.33,,-9.819999999999993,150.47,1.07,3527.9,9.9,34.8
7047.0,1.4,95.94,134.38,1.07,3248.4,10.2,35.3
-10.329999999999998,1.5,92.61,132.67,1.07,3364.1,9.8,34.8
7049.0,1.5,96.7,142.66,,3268.5,9.6,34.5
7050.0,1.2,96.54,150.5,,3492.5,9.8,35.0
7051.0,1.3,-9.819999999999993,134.69,1.06,3521.8,9.8,34.5
7052.0,1.2,90.81,132.59,1.1,3295.3,9.5,138.9
7053.0,1.1,92.86,130.36,1.11,3402.3,10.1,34.5
,1.2,92.48,140.14,1.1,3383.4,9.6,35.3
7055.0,1.0,93.99,139.85,1.09,3325.1,10.2,35.4
7056.0,1.1,92.45,143.18,1.05,3461.3,10.0,35.0
7057.0,1.3,97.97,141.58,1.08,2655.34,10.2,
7058.0,1.5,99.6,132.46,1.07,3432.4,9.6,34.8
7059.0,1.3,93.75,136.76,1.05,3467.1,10.2,34.8
,1.4,93.91,140.35,1.11,3364.2,9.9,35.3
,1.0,98.66,135.84,1.08,3526.9,-90.5,34.7
7062.0,1.0,96.51,134.65,1.05,3325.3,9.7,34.8
7063.0,1.2,94.42,135.91,1.08,3268.7,110.2,34.7
7064.0,1.4,95.43,144.15,1.1,3537.1,9.7,35.3
7065.0,1.5,-9.819999999999993,150.8,-98.95,,9.5,34.9
7066.0,1.5,93.85,130.17,1.11,3265.9,9.9,35.1
7067.0,1.5,99.29,138.6,1.05,3312.3,9.8,
7068.0,1.1,92.95,,1.06,3414.6,9.9,35.3
7069.0,1.1,93.13,132.88,1.07,3560.4,10.2,35.1
7070.0,1.0,90.14,131.7,1.08,3390.8,10.1,35.1
7071.0,1.2,94.95,143.41,101.11,3281.7,10.1,35.4
7072.0,1.0,98.84,134.76,1.08,3245.2,10.1,35.0
7073.0,1.2,96.86,150.69,1.07,3321.3,10.2,35.3
7074.0,,95.82,149.31,1.05,3325.1,10.0,34.6
7075.0,1.0,93.47,139.36,1.06,3920.2799999999993,10.2,35.4
7076.0,1.3,90.52,142.74,1.11,3509.4,9.8,34.8
7077.0,1.4,92.57,130.19,1.06,3235.2,9.6,34.6
7078.0,-99.0,98.43,142.93,1.05,3338.1,10.0,
7079.0,1.0,92.71,139.62,1.11,3485.7,10.1,34.8
7080.0,1.3,,146.83,1.11,3540.3,9.9,35.3
7081.0,1.0,95.97,148.96,1.11,3214.4,,34.5
7082.0,1.0,93.32,148.53,101.11,2655.34,9.6,35.3
7083.0,1.3,96.8,147.53,1.08,3572.0,-90.5,34.8
7084.0,1.5,90.41,148.18,1.09,3604.7,9.5,35.1
7085.0,1.1,98.94,141.58,1.06,3234.5,9.7,35.4
7086.0,1.2,91.9,139.89,1.1,3325.3,9.7,34.9
7087.0,1.5,,136.24,1.07,3264.7,9.7,34.8
7088.0,1.1,96.24,150.41,1.1,3302.1,9.8,35.4
7089.0,1.4,98.64,148.31,1.08,,10.1,34.5
7090.0,1.3,91.77,255.3056,1.07,3244.0,,35.3
7091.0,1.5,93.69,,1.11,3597.4,9.6,35.1
,1.5,90.88,142.17,1.06,3280.2,9.6,34.7
