,F_f,F_u,F_in,rho_u,T_o,tau_imp,h_bm
6363,1.1,90.23,136.77,1.09,3421.1,10.2,35
6364,1.5,92.55,146.7,1.08,3458.8,9.9,34.6
6365,1.2,93.47,136.34,1.07,3489.8,10.1,34.9
6366,1.4,97.23,148.99,1.05,3530.2,9.7,34.6
6367,1.1,92.56,132.94,1.06,3568.1,10.1,35.2
6368,1.5,96.54,141.55,1.1,3218.4,10.1,34.7
6369,1.2,93.39,140.84,1.07,3296.2,9.9,35
6370,1.5,98.68,132.81,1.06,3358.2,10,35.2
6371,1.1,98.53,148.8,1.09,3403.8,9.5,34.7
6372,1.1,90.87,130.26,1.07,3517.1,10,35.3
6373,1.2,97.73,150.64,1.08,3576.9,9.6,34.8
6374,1.5,96.94,131.44,1.11,3204.3,9.9,34.8
6375,1.5,93.64,131.33,1.08,3426.8,9.9,35.2
6376,1,98.46,136.34,1.09,3477.4,9.8,34.7
6377,1.5,98.34,148.11,1.11,3554.2,9.9,34.8
6378,1.4,92.53,136.91,1.05,3487.6,10,34.7
6379,1.5,94.39,139.31,1.1,3510.8,9.5,35.4
6380,1.3,92.94,131.43,1.08,3282.7,9.5,34.6
6381,1,94.61,135.51,1.1,3558.6,10,35.3
6382,1.3,93.21,140.32,1.11,3448.2,10.1,35.2
6383,1.2,90.1,133.19,1.09,3408.6,10.1,35.3
6384,1.4,93.77,138.79,1.05,3427.6,9.7,34.8
6385,1.4,96.45,149.75,1.06,3395.3,10.2,35.1
6386,1.1,99.42,146.92,1.1,3560.9,9.7,34.5
6387,1.1,98.3,142.86,1.08,3397,9.9,34.6
6388,1.5,93.2,132.95,1.07,3218,9.7,35.3
6389,1.1,91.38,141.86,1.06,3278.4,9.8,34.7
6390,1.1,90.23,137.85,1.05,3591.6,9.9,35.1
6391,1.3,90.61,149.59,1.08,3322.5,9.5,34.9
6392,1.4,92.62,132.66,1.09,3261.8,10.1,34.9
6393,1.5,98.51,135.32,1.07,3436.1,10,34.8
6394,1.2,97.45,142.87,1.05,3434.8,9.5,35.1
6395,1.5,97.43,146.81,1.06,3527.7,9.9,35
6396,1.5,92.68,132.93,1.07,3391.7,9.7,34.8
6397,1.5,98.51,130.59,1.11,3581,9.6,35
6398,1.4,96.22,130.41,1.1,3441.1,9.8,35
6399,1.5,98.88,143.69,1.1,3270.8,9.7,35.2
6400,1.2,97.38,131.17,1.06,3458.2,10,34.7
6401,1.5,92.51,132.2,1.06,3284.5,9.7,34.9
6402,1.3,92.53,146.92,1.1,3513.3,9.6,34.7
6403,1,93.15,135.75,1.11,3501.6,9.8,35.1
6404,1.4,98.45,145.92,1.08,3276.3,9.6,35.2
6405,1,97.11,144.72,1.08,3517.9,9.5,34.5
6406,1.5,92.63,136.71,1.09,3284.5,9.7,34.8
6407,1.1,93.82,138.28,1.09,3262,9.5,34.8
6408,1.4,94.81,134.51,1.07,3455.8,10.1,34.6
6409,1.5,96.42,139.87,1.06,3590.6,9.6,34.9
6410,1.2,95.83,147.41,1.08,3517.4,10.1,34.9
6411,1.2,93.52,145.2,1.08,3413.1,9.9,35.2
6412,1.1,95.95,145.34,1.1,3459.8,10.1,34.9
6413,1.4,97.61,132.28,1.07,3523,9.5,34.9
6414,1.1,99.77,141.45,1.05,3312.7,9.8,34.8
6415,1.5,92.89,149.95,1.06,3294.8,9.8,35.4
6416,1.3,96.28,144.55,1.06,3240.2,9.7,35.2
6417,1.3,92.8,130.73,1.07,3282.7,10.1,35.2
6418,1.4,98.83,142.41,1.1,3464.8,10.1,35.2
6419,1.2,94.32,139.55,1.1,3381.8,9.7,35
6420,1.1,94.85,142.65,1.11,3355.5,9.7,35
6421,1.2,92.63,143.68,1.11,3221.3,9.8,35.3
6422,1.3,92.88,150.76,1.08,3337,9.5,34.5
6423,1.3,98.79,142.47,1.05,3322.5,9.6,35.2
6424,1.2,92.34,133.5,1.1,3359.6,10,34.9
6425,1.3,97.88,138.92,1.07,3457.2,10.1,35.4
6426,1.3,94.93,144.59,1.05,3382.9,9.7,35.2
6427,1,95.11,149.64,1.05,3342.1,9.6,35.3
6428,1.1,99.73,140.39,1.08,3373.9,9.9,35.3
6429,1,93.65,130.31,1.05,3452.9,9.5,35.4
6430,1.3,90.85,130.28,1.11,3507.8,9.8,35
6431,1.1,96.2,145.58,1.05,3459.6,10.2,34.5
6432,1.4,99.94,139.44,1.1,3328.5,10.1,35.3
6433,1.3,96.67,131.65,1.05,3214.2,9.9,34.7
6434,1,91.16,136.43,1.05,3504.1,10.1,35.4
6435,1.4,99.51,132.49,1.1,3438.9,9.9,35.3
6436,1.4,91.21,135.93,1.09,3509.1,10,34.8
6437,1.1,98.49,149.85,1.09,3374.9,9.8,35
6438,1.5,98.97,133.6,1.1,3566.2,9.8,34.5
6439,1.4,93.36,136.9,1.09,3291.9,9.6,34.6
6440,1.3,97.74,144.61,1.08,3486.3,9.7,34.7
6441,1.4,98.13,131.84,1.05,3469.7,10,35.1
6442,1,93.65,139.82,1.08,3214.8,9.5,34.5
6443,1.4,94.48,142.97,1.06,3534.7,9.5,35.4
6444,1.4,91.12,147.9,1.1,3289.6,9.5,35.4
6445,1.2,93.99,140.38,1.06,3512.2,10.1,34.9
6446,1.5,91.21,147.56,1.06,3449,9.6,35.4
6447,1.2,99.76,143.55,1.08,3372,10.2,34.6
6448,1.3,90.93,136.1,1.11,3435.5,10.1,34.9
6449,1.5,95.25,137.72,1.11,3596.3,10,34.5
6450,1.2,95.11,144.11,1.08,3306.4,10.2,34.9
6451,1.2,92.11,143.41,1.07,3369.2,10.2,34.9
6452,1.3,93.17,135.74,1.09,3551.7,9.9,34.9
6453,1.1,92.2,133.24,1.1,3504.8,10,34.9
6454,1.2,97.18,144.94,1.08,3563.9,9.6,34.8
6455,1.4,92.55,139.17,1.11,3578.7,9.9,34.9
6456,1.1,90.26,140.42,1.07,3605.1,10,35.1
6457,1.2,91.33,138.81,1.11,3324.1,10,34.7
6458,1.1,92.91,134.76,1.11,3234.5,9.8,35.1
6459,1,93.65,148.76,1.07,3501.2,10,34.9
6460,1.4,91.27,147.56,1.06,3297.7,9.6,35.3
6461,1.3,98.63,141.74,1.09,3331.9,9.9,34.9
6462,1.1,98.77,144.12,1.05,3380.9,10.1,35.4
6463,1.4,91.49,149.44,1.11,3498.3,9.6,35.2
6464,1.2,92.81,144.6,1.05,3404.2,9.7,35.4
6465,1.2,97.48,132.2,1.06,3311.8,9.8,34.6
6466,1.3,92.59,130.98,1.11,3471.1,9.8,34.6
6467,1,96.11,135.84,1.07,3471.6,9.7,35.2
6468,1.1,96.82,130.75,1.09,3548,10.2,34.5
6469,1.3,94.74,138.99,1.1,3249.7,9.6,35.4
6470,1,95.27,132.95,1.09,3523.1,10.2,35.3
6471,1.5,96.96,139.54,1.05,3368.4,9.8,34.6
6472,1,93.81,148.75,1.05,3356.5,9.5,34.9
6473,1,92.57,146.83,1.1,3318.2,9.6,34.8
6474,1.4,93.7,139.7,1.11,3506.5,9.6,35.2
6475,1.1,91.79,145.84,1.09,3302.4,9.9,35.2
6476,1.1,95.35,144.96,1.1,3462.5,9.5,35.4
6477,1.5,97.6,145.63,1.06,3535.7,9.8,34.8
6478,1.4,93.92,134.34,1.11,3325.9,9.8,35.3
6479,1.1,92.49,144.45,1.08,3580.7,10.2,34.8
6480,1.3,95.68,132.58,1.11,3482.4,9.7,35.4
6481,1,92.26,142.88,1.1,3270.3,9.5,34.6
6482,1.4,96.35,136.11,1.1,3246.5,9.7,35.1
6483,1.3,96.74,130.86,1.1,3365.9,9.8,35
6484,1.2,91.83,136.35,1.1,3587.8,10,35.3
6485,1.3,91.64,131.96,1.08,3581.4,9.7,34.9
6486,1.1,99.71,132.73,1.05,3540.7,10.2,35
6487,1.5,93.41,136.48,1.11,3206.4,10.1,34.8
6488,1.3,96.65,131.52,1.09,3476.2,9.9,34.5
6489,1.4,98.25,149.88,1.09,3557.1,10.1,35.2
6490,1.2,97.94,136.86,1.1,3243.8,10,34.5
6491,1.1,98.4,134.14,1.08,3571.5,10.1,34.7
6492,1.3,95.94,140.63,1.11,3261.4,9.8,34.8
6493,1.4,98.93,134.41,1.06,3228.1,9.9,34.6
6494,1.3,99.87,145.57,1.08,3528,9.8,35.3
6495,1.2,99.28,150.87,1.07,3482,9.6,35.3
6496,1.4,98.91,150.23,1.05,3333.8,9.5,34.5
6497,1.3,91.62,144.94,1.1,3278.6,9.5,35
6498,1.5,96.46,147.6,1.11,3539,9.9,34.7
6499,1.4,96.91,132.53,1.05,3493.2,9.6,34.8
6500,1.4,98.32,145.64,1.07,3557.4,10,35.2
6501,1.3,91.76,142.77,1.05,3582.2,9.6,34.6
6502,1.3,94.99,141.79,1.08,3522.8,9.8,34.9
6503,1,90.54,143.33,1.07,3538,9.5,35.1
6504,1.3,92.69,145.94,1.09,3278.9,9.8,35.3
6505,1.4,94.7,131.29,1.05,3465.8,10,34.7
6506,1.2,91.94,143.15,1.06,3324.3,10.2,35.2
6507,1.1,98.59,131.32,1.05,3378.8,9.8,35
6508,1.1,97.92,131.22,1.09,3383.6,9.6,34.7
6509,1.5,94.52,145.44,1.11,3250.7,9.8,34.6
6510,1.4,94.84,149.7,1.08,3482,9.5,34.8
6511,1,97.47,139.95,1.07,3597.7,10.2,34.6
6512,1,99.72,147.24,1.08,3302.1,10.2,35.4
6513,1.2,92.19,147.76,1.05,3335.7,10.2,34.9
6514,1.2,96.52,133.66,1.06,3503,9.5,35.1
6515,1.4,99.41,131.89,1.07,3498.6,9.6,35.4
6516,1.5,91.72,131.41,1.06,3435.1,10.2,35.4
6517,1.4,96.72,147.8,1.06,3423.2,10,34.6
6518,1.2,92.98,136.68,1.11,3335.8,10.1,35.1
6519,1.4,94.81,147.5,1.08,3266.7,10.1,35.1
6520,1.1,96.47,133.84,1.1,3460.2,10.2,34.6
6521,1.3,94.62,150.77,1.08,3520.9,9.7,35.3
6522,1.3,95.97,139.89,1.06,3455.1,10.2,35.4
6523,1.1,98.28,139.22,1.11,3479.3,10.2,35
6524,1.3,95.29,132.1,1.07,3299.5,9.6,35
6525,1.5,99.71,136.58,1.1,3263.3,9.7,34.8
6526,1,96.26,148.25,1.08,3281.8,10.1,34.6
6527,1.3,92.23,135.33,1.08,3573,9.5,35.1
6528,1.1,96.57,132.61,1.06,3310.1,9.7,35.3
6529,1.5,90.36,136.13,1.1,3556.7,9.9,34.8
6530,1,94.78,146.84,1.06,3530.7,10.2,35.4
6531,1.5,98.46,145.4,1.11,3233.3,10,35.2
6532,1.2,93.6,144.72,1.11,3278,10.1,35.3
6533,1.4,94.19,150.56,1.09,3334.8,10,34.9
6534,1.4,97.59,144.43,1.07,3519.7,10.1,35.4
6535,1,99.71,132.89,1.09,3326,10.2,34.6
6536,1.4,97.15,150.42,1.08,3223.7,10.2,35.3
6537,1.3,91.19,139.61,1.1,3260.5,9.9,34.7
6538,1.3,91.34,136.49,1.07,3595.1,10.1,34.9
6539,1,97.3,139.33,1.11,3368,9.9,35.3
6540,1,99.68,142.27,1.11,3326.2,10.2,35.3
6541,1.2,92.62,137.36,1.09,3205.5,10.2,34.7
6542,1.1,91.33,131.69,1.11,3291,10,35
6543,1.3,92.69,147.59,1.05,3322.8,9.7,34.6
6544,1.3,97.78,140.12,1.09,3569.7,9.8,35.4
6545,1.1,92.87,144.55,1.11,3481.4,10,34.9
6546,1,92.53,133.93,1.09,3221.6,10,35.2
6547,1.5,93.88,149.4,1.09,3243.7,9.5,34.6
6548,1.3,92.22,145.79,1.1,3436.9,10.1,34.8
6549,1.5,90.84,133.46,1.06,3256.7,10.2,35.4
6550,1.5,98.68,134.25,1.06,3358.5,10.2,35
6551,1.2,95.43,133.59,1.11,3556.2,9.7,35.3
6552,1,96.69,132.97,1.07,3571.3,10.1,34.6
6553,1.4,97.28,138.35,1.06,3491.7,10.1,34.7
6554,1,91.34,149.72,1.09,3253.4,10.2,35.2
6555,1.4,96.95,133.63,1.11,3372.2,9.8,34.7
6556,1.3,93.86,134.79,1.06,3517.8,9.7,34.7
6557,1.2,90.47,132.91,1.06,3503.8,10.2,34.8
6558,1.2,96.36,136.13,1.06,3266.3,10.1,35.4
6559,1.5,95.64,137.92,1.06,3223.3,9.8,35.3
6560,1.4,93.29,139.35,1.07,3456.9,10.2,35.3
6561,1.1,94.75,136.65,1.05,3328.4,9.7,35.4
6562,1.5,99.22,149.93,1.07,3248.8,9.7,35.4
6563,1.1,90.15,148.92,1.09,3279.9,10,35.1
6564,1.2,91.44,148.48,1.1,3449,10,35.4
6565,1.5,98.61,145.48,1.07,3452.8,10.1,35.4
6566,1,93.55,138.2,1.08,3584.1,9.7,35.4
6567,1.1,96.25,137.31,1.05,3552.3,10,35.1
6568,1.5,92.48,144.85,1.09,3493.5,10.1,35
6569,1.2,93.12,145.14,1.11,3420.8,9.6,35
6570,1.3,96.11,137.92,1.09,3292.2,10.1,35.3
6571,1,92.37,141.8,1.11,3387.1,10,35.4
6572,1.5,95.59,149.26,1.09,3563.7,9.5,34.9
6573,1,96.77,134.1,1.1,3217.4,9.8,34.5
6574,1.1,94.39,143.1,1.1,3341,9.6,34.8
6575,1.3,91.63,149.3,1.08,3418.8,10.1,35.3
6576,1.2,91.81,142.47,1.09,3509.6,9.9,35.3
6577,1.4,95.2,140.11,1.05,3489.1,9.9,35
6578,1,98.8,149.75,1.09,3375.3,9.9,35.2
6579,1,97.94,150.7,1.06,3550.5,9.7,35.3
6580,1.4,99.53,146.71,1.06,3238.8,10,35
6581,1.1,98.45,131.75,1.09,3298.7,9.9,35.2
6582,1,95.14,132.58,1.09,3414.8,9.7,35.3
6583,1.3,91.26,136.39,1.09,3428.8,10.2,34.8
6584,1.4,96.56,132.2,1.06,3548.1,10,34.9
6585,1.1,99.51,134.36,1.06,3463.7,9.6,34.6
6586,1.3,99.1,140.31,1.05,3566.3,10.2,34.8
6587,1,93.12,144.13,1.08,3349.9,9.6,35
6588,1.3,93.18,144.42,1.08,3371,10.2,35.3
6589,1.4,99.82,148.52,1.07,3471,9.5,34.5
6590,1,97.79,137.79,1.08,3245.1,9.7,34.7
6591,1,91.25,132.87,1.05,3399.2,9.7,34.8
6592,1.2,92.94,136.55,1.09,3317.1,9.8,34.6
6593,1.1,98.71,133.36,1.05,3360,9.6,35.3
6594,1.4,92.75,139.63,1.09,3293.8,10.1,34.6
6595,1.4,99.51,140.91,1.07,3539.7,9.6,35.3
6596,1.4,96.36,148.18,1.11,3294,9.5,35.2
6597,1.2,92.79,138.45,1.1,3413.2,10,35.4
6598,1.2,92.93,142.25,1.06,3321.9,9.8,34.7
6599,1.4,91.31,146.47,1.07,3497.9,10,35.2
6600,1.3,96.66,135.38,1.06,3432.8,10.2,34.6
6601,1.1,99.78,134.82,1.09,3608.2,10,35.4
6602,1.3,97.28,134.93,1.07,3300.6,10,35.1
6603,1.5,95.53,133.78,1.06,3354.2,9.8,34.9
6604,1.5,95.32,140.19,1.07,3573.4,9.7,34.9
6605,1.1,90.68,132.58,1.07,3416.8,9.8,35.2
6606,1.1,93.54,147.85,1.08,3370.4,10,34.8
6607,1.2,98.21,138.94,1.08,3507.8,9.6,35.2
6608,1.4,99.73,140.52,1.07,3466.7,9.6,35.2
6609,1.4,98.55,141.68,1.1,3405.2,9.8,35
6610,1,90.49,136.29,1.11,3447.6,9.7,35.1
6611,1,97.18,139.25,1.08,3248.8,9.6,35
6612,1.4,90.46,148.93,1.06,3272.2,9.7,35.1
6613,1.3,98.28,131.24,1.05,3302.8,10,34.8
6614,1.3,92.69,133.59,1.06,3474.3,9.6,34.5
6615,1.1,99.77,136.33,1.06,3514.7,10,35.4
6616,1.4,92.33,130.97,1.06,3384.6,10.1,34.7
6617,1.2,91.33,144.55,1.06,3377.4,9.8,34.8
6618,1.5,98.92,145.71,1.11,3555,10.1,35.3
6619,1.3,99.16,139.97,1.09,3552.4,9.5,35.1
6620,1.5,93.36,144.57,1.05,3206.3,9.8,34.6
6621,1.4,93.45,133.33,1.06,3395.6,9.6,34.9
6622,1.5,96.21,132.48,1.05,3254.6,10,35
6623,1.2,91.22,149.36,1.09,3460.7,9.8,35.3
6624,1.4,92.45,145.59,1.08,3255.6,10.2,35.4
6625,1.5,97.52,137.31,1.05,3297.5,9.9,34.7
6626,1.2,91.64,134.1,1.1,3260,9.7,35.1
6627,1,94.98,134.58,1.09,3204.2,10.2,34.6
6628,1.4,95.22,145.98,1.07,3397.9,10.1,35.4
6629,1.2,98.46,135.62,1.08,3240.7,9.6,34.6
6630,1.2,93.3,150.46,1.08,3328,10.1,35.2
6631,1.5,92.59,133.97,1.08,3390.7,9.6,34.6
6632,1,92.12,141.21,1.05,3409.7,10.1,34.8
6633,1.1,94.93,139.54,1.1,3563.5,9.6,35
6634,1.2,95.77,148.32,1.11,3533,9.7,35
6635,1.3,95.42,135.21,1.06,3487.5,10.2,34.5
6636,1,92.58,145.98,1.1,3269.5,10.1,34.8
6637,1.4,97.23,144.65,1.05,3498.2,10.2,35
6638,1.2,94.8,145.1,1.08,3605.6,10.2,34.5
6639,1.2,97.99,136.76,1.09,3352.7,9.9,35.1
6640,1.3,99.99,144.92,1.09,3446.1,9.9,35.1
6641,1.4,98.55,137.46,1.07,3394.1,9.5,34.7
6642,1.3,95.99,144.88,1.11,3217.8,10.1,34.8
6643,1.2,91.22,139.55,1.1,3372.6,9.5,35
6644,1.5,94.98,132.17,1.11,3587.2,9.9,35.3
6645,1,94.93,147.69,1.09,3303.3,10.1,34.6
6646,1.4,90.35,134.9,1.06,3512.5,10.2,34.6
6647,1.5,99.43,143.26,1.08,3228.9,9.5,34.9
6648,1.1,93.54,150.16,1.08,3239.6,9.9,35.1
6649,1.5,93.12,139.26,1.09,3454.7,10.1,34.9
6650,1,94.67,130.17,1.1,3603.4,9.6,34.9
6651,1.4,96.8,130.61,1.1,3554.7,9.7,35
6652,1.2,91.92,141.46,1.07,3564.6,9.7,35.3
6653,1.4,95.89,142.66,1.06,3496.3,9.6,35.2
6654,1.3,94.25,147.95,1.06,3336.3,9.5,35.1
6655,1.3,91.89,137.62,1.11,3278,9.6,35.2
6656,1.2,94.82,139.84,1.1,3374.6,10.1,35.2
6657,1.5,97.57,142.72,1.1,3347.2,10.1,35
6658,1,94.29,138.98,1.06,3434.4,9.7,35.3
6659,1.3,93.15,133.25,1.06,3552,9.8,35.4
6660,1.3,94.16,149.69,1.11,3338.1,9.9,35.2
6661,1.3,95.73,147.13,1.1,3392.7,9.6,34.9
6662,1.3,99.95,135.26,1.06,3459.6,9.7,34.6
6663,1.3,97.56,148.21,1.08,3402.7,9.5,34.7
6664,1.5,94.17,135.83,1.08,3389.2,9.5,35.1
6665,1.2,93.96,131.38,1.05,3354.2,9.7,35.3
6666,1,94.64,148.92,1.07,3600.7,9.6,35.4
6667,1,90.83,144.98,1.05,3548.8,9.7,35.4
6668,1.5,95.38,150.32,1.08,3422.8,9.7,35.2
6669,1.2,97.86,130.8,1.08,3253.4,10,35.1
6670,1.4,98.2,143.16,1.07,3478.6,10,35.4
6671,1.3,97.8,141.25,1.09,3206.7,9.6,34.7
6672,1.2,99.39,131.77,1.11,3328,10.2,34.7
6673,1.5,94.2,131.26,1.11,3285.7,9.8,35.3
6674,1.4,97.49,143.68,1.08,3372.8,9.9,35.4
6675,1,92.22,136.28,1.09,3415.2,10.2,35
6676,1.1,96.9,145.51,1.08,3435.1,9.6,35
6677,1.1,93.29,136.84,1.07,3453.9,10.2,34.5
6678,1.3,95.46,145.94,1.05,3575.4,9.5,35.4
6679,1,93.44,137.13,1.08,3510.9,10.1,35
6680,1.2,94.37,134.75,1.1,3209.4,10.2,35.2
6681,1.3,95.24,139.99,1.06,3418.3,10.1,35
6682,1.4,91.93,134.41,1.1,3281.9,9.6,35.2
6683,1.2,92.3,138.46,1.07,3242.2,9.6,35.3
6684,1.3,94.24,131.62,1.07,3380.8,10.2,35.4
6685,1.3,94.46,148.7,1.05,3260.7,9.7,35.4
6686,1.2,96.16,140.28,1.06,3292.1,9.7,35
6687,1.3,92.1,136.36,1.05,3307.7,10.1,34.8
6688,1.2,97.69,145.17,1.11,3383.4,9.9,34.7
6689,1,91.51,146.58,1.1,3535.4,9.6,34.6
6690,1.4,95.24,136.27,1.11,3370.7,9.6,35.1
6691,1.1,98.14,133.19,1.05,3485.7,9.7,35
6692,1.5,90.78,137.66,1.11,3329.1,10,35.2
6693,1.2,93.46,140.87,1.09,3550.7,10,34.9
6694,1.4,92.57,138.98,1.08,3336.1,10,34.9
6695,1,97.88,145.5,1.1,3368.7,10,35.2
6696,1,96.81,143.39,1.11,3554.1,9.7,34.6
6697,1,98.17,148.67,1.09,3324.2,9.8,35.4
6698,1.3,91.27,137.13,1.11,3241.8,10.1,35
6699,1.1,93.34,141.2,1.1,3570.5,9.8,35.3
6700,1.1,91.16,132.39,1.05,3409.9,10,35.2
6701,1.3,99.67,132.69,1.08,3454.5,9.8,35.4
6702,1.2,99.92,145.81,1.05,3266,9.5,35
6703,1.2,99.42,131.49,1.05,3400.3,10,35.1
6704,1.1,93.51,136.51,1.1,3607.8,10.2,34.6
6705,1.4,90.35,139.2,1.08,3587.6,10,35.1
6706,1.1,95.98,142.83,1.05,3442.5,9.7,34.9
6707,1,98.92,150.75,1.09,3592.8,9.9,34.8
6708,1.1,98.47,143.36,1.05,3450.5,10.1,34.7
6709,1.3,99.61,135.64,1.11,3273.1,9.9,34.8
6710,1.2,95.86,142.37,1.06,3244.5,10.1,34.5
6711,1,93.63,136.37,1.1,3467.8,9.6,34.6
6712,1.2,90.41,138.24,1.09,3443.1,9.8,34.8
6713,1.5,99.1,132.56,1.08,3503.9,10.2,34.8
6714,1.4,94.59,141.62,1.08,3337.4,9.7,34.5
6715,1.1,95.69,134.29,1.06,3327.5,9.5,34.8
6716,1.4,92.78,133.66,1.1,3505.3,9.9,35.3
6717,1.1,94.86,147.83,1.06,3333,10.1,35.3
6718,1.4,94.64,145.32,1.07,3501.4,9.8,34.7
6719,1.2,95.49,147.36,1.09,3365.4,10.2,35
6720,1.5,92.68,130.29,1.1,3299.5,9.5,34.6
6721,1,92.55,131.67,1.11,3362.8,9.7,35.4
6722,1.1,98.87,142.27,1.05,3490.2,10,35.3
6723,1.2,92.96,141.72,1.11,3285,9.8,34.9
6724,1.5,92.72,140.75,1.08,3235.4,10.1,35.1
6725,1.3,91.85,146.38,1.05,3490.1,10.2,35.2
6726,1.3,93.87,148.56,1.05,3493.3,10,35.1
6727,1.5,91.81,134.9,1.06,3307,9.7,35.2
6728,1.3,94.11,140.49,1.05,3266.8,10,35.4
6729,1.3,90.91,133.3,1.06,3322.7,9.8,35
6730,1.4,99.65,147.88,1.1,3356.5,9.5,34.9
6731,1.3,94.38,134.86,1.09,3466,9.9,34.5
6732,1,90.51,133.93,1.06,3273.5,9.9,35.2
6733,1.3,96.12,132.38,1.06,3459.8,9.6,34.8
6734,1.1,96.6,142.64,1.08,3579.1,9.6,35.4
6735,1,92.63,136.53,1.11,3281.8,9.8,34.9
6736,1,97.82,133.32,1.06,3263.7,10.1,35
6737,1.3,98.18,134.13,1.07,3396.7,9.8,34.7
6738,1.1,90.81,144.2,1.07,3328.4,9.9,34.7
6739,1,93.16,131.8,1.09,3536,9.8,34.8
6740,1.5,98.16,144.69,1.1,3439.7,10.1,35.1
6741,1.3,93.44,144.85,1.08,3386.7,9.8,35.4
6742,1.3,90.95,132.79,1.08,3505.5,9.5,34.5
6743,1.5,99.97,148.99,1.11,3352.9,9.9,34.5
6744,1.5,97.5,133.68,1.05,3278.1,10.1,34.8
6745,1.5,95.53,144.23,1.06,3409.2,10.1,35
6746,1,95.21,138.81,1.05,3526.2,10.2,35.2
6747,1.3,93.61,148.58,1.05,3262.9,10.2,35.1
6748,1.4,96.16,142.95,1.05,3494.1,9.8,34.8
6749,1.2,91.88,131.58,1.06,3438.8,10,34.6
6750,1.4,95.41,131.85,1.1,3303.1,9.5,34.8
6751,1.5,91.34,139.71,1.08,3364.4,9.8,34.6
6752,1.1,97.62,143.96,1.09,3337.7,10,34.5
6753,1.3,99.39,147.14,1.1,3570.9,9.9,34.9
6754,1.2,96.91,141.64,1.05,3540.6,10.1,34.9
6755,1.1,91.69,140.74,1.07,3370.8,9.7,34.9
6756,1.2,94.23,137.88,1.05,3470.9,9.5,34.5
6757,1.5,92.57,150.89,1.07,3306.1,9.9,34.8
6758,1.4,90.22,140.27,1.11,3500.5,9.5,34.6
6759,1.2,91.19,138.79,1.11,3462.7,9.7,34.7
6760,1.3,92.18,140.55,1.06,3429.9,9.5,34.9
6761,1.3,92.21,134.48,1.09,3406.1,9.7,35.1
6762,1,97.6,150.98,1.11,3442.8,9.9,34.9
6763,1,91.9,147.68,1.05,3293.8,9.7,35.1
6764,1.1,91.18,142.46,1.06,3420.6,10,35.4
6765,1.3,95.35,144.36,1.1,3400,10,35
6766,1.2,98.39,132.87,1.08,3245.6,9.6,34.6
6767,1.3,99.66,141.21,1.1,3329,10.2,35.3
6768,1.1,90.77,139.8,1.06,3227.8,9.8,35.1
6769,1.3,90.91,150.2,1.08,3495,10,34.8
6770,1.1,91.29,144.6,1.09,3561.8,9.5,34.7
6771,1.4,91.14,148.24,1.09,3474.3,10.2,35.4
6772,1,92.91,130.92,1.07,3228,10.1,35.3
6773,1.4,94.4,142.79,1.11,3283.7,9.9,35.1
6774,1.1,95.56,140.65,1.06,3599.2,9.7,35.4
6775,1.4,98.46,133.63,1.09,3493,9.7,35.4
6776,1.4,98.46,131.77,1.11,3544.4,9.5,34.7
6777,1.3,94.46,138.29,1.1,3279.5,9.8,34.5
6778,1.1,98.94,141.38,1.07,3216.9,9.7,34.9
6779,1,96.74,138.38,1.07,3380.9,10.2,34.9
6780,1.5,90.68,131.3,1.11,3424.6,9.8,34.7
6781,1.3,90.61,136.27,1.11,3513.4,10.2,35
6782,1,98.74,147.51,1.05,3462.9,9.7,34.9
6783,1.1,94.79,131.79,1.07,3573.7,9.6,35.1
6784,1.2,92.22,150.53,1.1,3340.3,9.8,34.6
6785,1.5,95.93,150.26,1.07,3423,9.5,35
6786,1,94.92,134.3,1.11,3552,9.9,35
6787,1,97.38,138.8,1.1,3412.8,9.8,34.8
6788,1.3,92.66,138.72,1.07,3520.5,10.2,35.2
6789,1.5,97.69,138.64,1.1,3222.4,9.8,35.4
6790,1,95.96,135.42,1.11,3429.1,10,35
6791,1.1,93.71,142.6,1.11,3430.3,9.5,34.7
6792,1.2,96.46,140.24,1.11,3572.6,10,34.5
6793,1.2,92.64,142.96,1.09,3403.5,9.5,34.9
6794,1.4,91.52,133.59,1.09,3326.8,9.9,35.1
6795,1.3,99.32,149.85,1.06,3374.1,9.7,34.9
6796,1.5,99.76,143.57,1.09,3567.4,9.5,35.4
6797,1.4,96.51,145.87,1.11,3531.6,9.7,35.4
6798,1.3,91.14,144.97,1.06,3246.5,9.5,35.4
6799,1.5,97.61,131.31,1.11,3286.4,9.8,34.9
6800,1.2,92.87,139.64,1.08,3469.9,9.8,34.8
6801,1.4,94.48,142.16,1.11,3587.8,9.7,35.1
6802,1.5,97.98,144.93,1.09,3340.3,9.8,34.6
6803,1,96.46,134.86,1.09,3586.6,9.7,35.3
6804,1.4,99.17,130.35,1.05,3530,9.6,34.6
6805,1.1,90.48,146.37,1.07,3248.5,10,35.4
6806,1.4,94.83,131.41,1.07,3405.1,9.7,35.4
6807,1.4,94.68,136.48,1.1,3356.1,10.2,35.2
6808,1.3,96.24,139.57,1.07,3413.8,9.8,35.1
6809,1.2,90.82,135.61,1.06,3365.5,10,34.9
6810,1.5,99.82,145.52,1.09,3484.6,10,35.2
6811,1.2,97.87,141.66,1.1,3602.4,10.1,35
6812,1.3,99.25,145.22,1.08,3236.8,9.7,35.3
